product_id,rating,title,text,url
1,5,"Great Value, Trusted Quality – My Go-To for a Healthy Scalp!","I've been using the Head & Shoulders Shampoo and Conditioner Set for years, and it never disappoints. This set is a fantastic value—you get both products for a very affordable price, especially compared to buying them separately at the store.The quality is top-notch. The shampoo cleans thoroughly without drying out my scalp, and the conditioner leaves my hair soft, manageable, and never greasy. It’s one of the few products that actually helps prevent flakes and itch while still making your hair feel and smell great.This set is a staple in our home—it works for the whole family, and it’s perfect for daily use. If you’re looking for an effective, affordable, and reliable hair care solution, this is it. Highly recommend!",https://www.amazon.com/gp/customer-reviews/R1NXMXOF5QLIMR/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
1,5,Great for my locs,"Great shampoo, no itch. Cooling and tingly sensation. Continuous use of at least twice a week and flakes will go away forever.",https://www.amazon.com/gp/customer-reviews/R1UA0W16VJQNE7/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
1,5,Shampoo- Great Deal!,"Works exactly as expected-reliable, clean scent, and keeps dandruff under control. The twin pack is a great value and lasts a long time. Came nicely packaged. No Leaks.",https://www.amazon.com/gp/customer-reviews/R3KOS0ZYXE2KV/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
1,5,Best shampoo ever,"About 2 years ago I started having an itchy scalp. Never had this ever before. This shampoo did the trick. Who knew Head & Shoulders was such a great product. This shampoo smells great - very fresh. It is thick and leaves my hair feeling thick and great and clean. I will never go back to expensive salon shampoos. I follow up with a Klorane plant based purple conditioner but this is only to brighten my grays. H&S leaves my hair feeling great if I don't use conditioner but I like the brightness the purple conditioner brings to my gray.",https://www.amazon.com/gp/customer-reviews/RDGKK8X06K6IO/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
1,5,Excellent product.,"No more itchy scalp.Not harsh.Nice price point vs retail.",https://www.amazon.com/gp/customer-reviews/RCPLQNJV8UD16/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
1,4,"Great for dry hair, but not for oily scalp","This shampoo works really well if you have dry or damaged hair — it leaves my hair feeling soft, smooth, and hydrated. The scent is nice but not overpowering, and a little goes a long way. That said, if you have an oily scalp like I do, it might not be the best fit. I noticed my hair got greasy faster than usual. I think it’s better suited for people with dry or frizzy hair who need extra moisture.Overall, it’s a great product — just depends on your hair type!",https://www.amazon.com/gp/customer-reviews/R1P9PJ9C0OV6ZW/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
2,5,GREAT product!!,"Only washed my hair with it once. But Holy Moly!! What a great job it did with my hair. It was dry and brittle beforehand. One wash and it feels like it was freshly washed and cut. No more brittle ends. Can’t wait to see what it’ll be like after a few more washes.",https://www.amazon.com/gp/customer-reviews/R60UBZYMP7CXR/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
2,5,Pleasantly Surprised,"I bought both the Dove 'daily moisture' shampoo and the Dove 'daily moisturizer' conditioner. I chose this specific formula because I have thick, wavy hair that gets quite dry - and this line (according to the product description) is 'designed for dry hair.'PROS - the pumps make for easy dispensing of both the shampoo & the conditioner. The conditioner is easy to distinguish from the shampoo because it has a gold band along the pump's top. The scent of both products is fresh and clean but not overpowering. My hair felt well-moisturized and did lay slightly softer than normal once it was air-dried. The price is amazing. The amount of product you get for the price is amazing. The shampoo has a high lather and the conditioner feels silky smooth. CONS - That I did not discover this Dove line sooner!",https://www.amazon.com/gp/customer-reviews/R2EMBL6WT2PBI2/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
2,5,Reasonable price,"Love the shampoo & how soft my hair is after washing it",https://www.amazon.com/gp/customer-reviews/R2WUMTI4BKHSVL/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
2,5,Effective and affordable,"This is a great hair care line! Dove has formulas that clean and nourish hair at a drugstore price. To me, this performs better than the salon formulas that are sulfate-free. I alternate Dove with Garnier, Head n Shoulders, L’Oréal, or Herbal Essences and my hair has never looked or felt better. My one caveat with all Dove products: the scent is strong. It smells very clean, like laundry detergent, and it lasts all day long. I like it, but if you’re sensitive to fragrance, you might have to skip this line.",https://www.amazon.com/gp/customer-reviews/R33Y1B9QGTT6P6/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
2,4,Okay,"God value for money, but the smell is to strong for my taste, I had to put it on my spare bathroom",https://www.amazon.com/gp/customer-reviews/R1TA2XU3UC09XU/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
2,5,lovely scent,"smells great and keeps your hair soft!",https://www.amazon.com/gp/customer-reviews/RNEKXAELCEQQG/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
3,5,"It works! Better than Head & Shoulders w/ Zinc Pyrithrone","Wow! Saved my scalp and hair! I have 1/2a/2b hair—fine, medium density, low porosity, and protein sensitive, with a very sensitive scalp. I used to use Head & Shoulders (I tried everything they offer) or Dove’s Dryness & Itch Relief dandruff shampoo. Both contain zinc pyrithione, and heavy-handed synthetic-smelling fragrance. Yuck. They both also left this gross residue on my hair, where my hair felt both dry and greasy. Double yuck. And my head would still get itchy by the next day! Triple yuck! So... not exactly a win-win for any part of my head. But I'd tried so many shampoos and these were the best options :( On the other hand, this CeraVe Hydrating Shampoo is fragrance-free, doesn’t contain zinc pyrithione and leaves my scalp itch-free all day, every day (!!!) and my hair clean and bouncy. I don’t know how they did it, but I’m so grateful!!! 🙏 You have no idea. I was going insane trying to find something that would work for me. I tried SO MANY shampoos and conditioners. I thought Target was going to ban me from how many I had tried and returned. CeraVe also worked well in both hard and soft water for me. Obviously it performed better in soft water, but in hard water I successfully paired it with a clarifying shampoo and chelator (as needed): L’Oréal’s Hard Water Clarifying Shampoo and MalibuC Hard Water packets. I had to be careful with that combo though. It did a great job at stripping my hair clean, but if I used it too often, it absolutely wrecked my scalp. I now have softened water, and I pair the CeraVe shampoo with L'Oreal's Curl Conditioner or L'Oreal's Restore Conditioner (aka their hard water conditioner) and that's been working very well for me. If I need to clarify every so often, I just shampoo twice with the CeraVe shampoo, and that does the trick. Anywho, I recommend giving this shampoo a shot! Hope it works for you too! And CeraVe.... DO NOT STOP MAKING THIS AND DO NOT CHANGE THE FORMULA.",https://www.amazon.com/gp/customer-reviews/R3NMH56G08NGJU/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8
